name,categories,state,stars
Pizza My Dear,"['Sandwiches', 'Pizza', 'Restaurants', 'Food', 'Italian', 'Food Delivery Services', 'Gluten-Free']",NV,4.0
Papa Joe's Submarines,"['Sandwiches', 'Cheesesteaks', 'Restaurants', 'Italian']",OH,4.0
Giuseppe's Ristorante,"['Restaurants', 'Italian']",OH,4.0
TGI Fridays,"['American (Traditional)', 'Nightlife', 'Restaurants', 'Bars', 'Italian']",OH,3.0
Crust,"['Nightlife', 'Event Planning & Services', 'Wine Bars', 'Italian', 'Caterers', 'Bars', 'Restaurants', 'Pizza']",AZ,4.0
Stone & Vine,"['Nightlife', 'Bars', 'Italian', 'Restaurants', 'Wine Bars']",AZ,3.5
Pizza Hut,"['Italian', 'Chicken Wings', 'Restaurants', 'Pizza']",NC,2.5
Nothing But Noodles,"['Chinese', 'Thai', 'American (Traditional)', 'Caterers', 'Restaurants', 'Asian Fusion', 'Event Planning & Services', 'Italian', 'Noodles']",NC,3.5
Conte Restaurant,"['Restaurants', 'Italian']",OH,4.5
Sbarro,"['Pizza', 'Italian', 'Salad', 'Restaurants']",NV,3.0
Vivo Ristorante,"['Specialty Food', 'Pizza', 'Restaurants', 'Food', 'Italian']",AZ,4.0
Divinos,"['Italian', 'Sandwiches', 'Salad', 'Pizza', 'Restaurants']",AZ,3.5
Carmine's,"['Event Planning & Services', 'Restaurants', 'Italian', 'Salad', 'Desserts', 'Seafood', 'Food', 'Venues & Event Spaces', 'Caterers']",NV,4.0
Frankie's Italian Cuisine,"['Restaurants', 'Italian', 'Pizza']",OH,3.5
Mannie & Bo's Pizzeria Las Vegas,"['Italian', 'Pizza', 'Restaurants']",NV,4.0
Mambo Italia,"['Restaurants', 'Italian']",PA,3.5
Stock & Stable,"['American (Traditional)', 'American (New)', 'Gastropubs', 'Restaurants', 'Italian']",AZ,4.0
Panini's Bar & Grill,"['Italian', 'Bars', 'Restaurants', 'Nightlife', 'American (Traditional)', 'Sports Bars']",OH,2.5
Zeppe's Pizzeria,"['Restaurants', 'Event Planning & Services', 'Pizza', 'Wraps', 'Caterers', 'Italian']",OH,3.5
Fazoli's,"['Italian', 'Restaurants']",NV,3.0
Buono's Pizza,"['Pizza', 'Chicken Wings', 'Italian', 'Restaurants']",AZ,3.0
Bella Fresco,"['Restaurants', 'Nightlife', 'Gelato', 'Food', 'Italian', 'Mediterranean', 'Bars', 'American (Traditional)']",NC,3.5
Pizza Hut,"['Italian', 'Chicken Wings', 'Restaurants', 'Pizza']",PA,1.0
Heavens Kaffee World Cuisine,"['German', 'Restaurants', 'Greek', 'Italian']",AZ,3.0
Tony's Italian Delicatessen,"['Sandwiches', 'Food', 'Grocery', 'Italian', 'Delis', 'Restaurants']",AZ,4.0
Luciano's Italian Brick Oven,"['Italian', 'Pizza', 'Restaurants']",PA,3.0
Arby's,"['American (Traditional)', 'Italian', 'Sandwiches', 'Restaurants', 'Fast Food']",AZ,3.0
Mac Shack Spring Valley,"['Restaurants', 'Italian']",NV,3.5
Barro's Pizza,"['Sandwiches', 'Gluten-Free', 'Pizza', 'Restaurants', 'Italian']",AZ,3.5
Olive Garden Italian Restaurant,"['Wine Bars', 'Bars', 'Nightlife', 'Restaurants', 'Italian', 'Salad']",AZ,3.0
Senti,"['Nightlife', 'Wine Bars', 'Arts & Entertainment', 'Bars', 'Italian', 'Food', 'Wineries', 'Desserts', 'Restaurants']",PA,3.5
Aroma Restaurant,"['Restaurants', 'Italian']",OH,3.0
Peter Allen's,"['Diners', 'Restaurants', 'Seafood', 'Italian']",PA,2.5
Trapuzzano Italian Chophouse,"['Italian', 'Restaurants']",PA,3.0
Taste of Italy,"['Restaurants', 'Pizza', 'Italian']",AZ,4.0
Pasta Cucina,"['Restaurants', 'Italian']",NV,4.0
Lorenzo's Pizza and Pasta,"['Restaurants', 'Pizza', 'Italian']",AZ,3.5
Nook Kitchen,"['Pizza', 'Italian', 'Vegetarian', 'American (New)', 'Restaurants']",AZ,4.5
Ray's Pizza,"['Italian', 'Pizza', 'Restaurants']",AZ,3.5
Lago,"['Italian', 'Restaurants']",OH,4.0
Bambino's East Coast Pizzeria,"['Caterers', 'Italian', 'Restaurants', 'Event Planning & Services', 'Pizza', 'Sandwiches']",NV,4.5
Mia Famiglia Restaurante & Pizzeria,"['Restaurants', 'Pizza', 'Italian']",NC,4.0
My Pie Pizza,"['Italian', 'Restaurants', 'Pizza', 'Salad']",AZ,4.5
Tinoco's Bistro,"['French', 'Italian', 'Restaurants']",NV,4.5
Pizzeria Bianco,"['Italian', 'Restaurants', 'Pizza', 'Tapas/Small Plates']",AZ,3.5
Fairview Pizza Company,"['Restaurants', 'Breakfast & Brunch', 'Pizza', 'Italian', 'Sandwiches']",NC,4.0
Sbarro,"['Restaurants', 'Italian']",NV,4.0
Chinato,"['Restaurants', 'Italian']",OH,4.0
Tootie's Famous Italian Beef,"['Restaurants', 'Cheesesteaks', 'Event Planning & Services', 'Caterers', 'Fast Food', 'Italian', 'American (Traditional)', 'Sandwiches']",PA,4.0
Fat Ox,"['Nightlife', 'Desserts', 'Italian', 'Bars', 'Food', 'Wine Bars', 'Restaurants']",AZ,3.5
Dewey's Pizza,"['Restaurants', 'Italian', 'Pizza']",OH,4.0
La Torretta Ristorante,"['Italian', 'Restaurants']",AZ,4.0
Bonanno's New York Pizzeria,"['Restaurants', 'Italian', 'Pizza']",NV,3.0
Skye Bistro,"['Bars', 'Restaurants', 'Nightlife', 'Sandwiches', 'Italian', 'American (Traditional)', 'Pubs']",OH,4.0
Pasta Nuovo,"['Italian', 'Restaurants']",WI,3.5
Marco's Pizza - Mentor On the Lake,"['Chicken Wings', 'Pizza', 'Restaurants', 'Italian']",OH,3.5
Dino's Place,"['Breakfast & Brunch', 'Italian', 'Pizza', 'Restaurants']",OH,4.5
Lenoci's Spaghetti House,"['Pizza', 'American (New)', 'Restaurants', 'Italian']",OH,4.5
Super Pizza,"['Italian', 'Pizza', 'Restaurants']",PA,3.0
Barro's Pizza,"['Italian', 'Restaurants', 'Pizza', 'Sandwiches']",AZ,3.5
Domino's Pizza,"['Chicken Wings', 'Pizza', 'Restaurants', 'Italian', 'Sandwiches']",NC,4.0
Guarino's Restaurant,"['American (New)', 'Party & Event Planning', 'Restaurants', 'Italian', 'Event Planning & Services']",OH,3.5
Un Bacio Ristoranti,"['Italian', 'Restaurants']",AZ,4.0
Marco's Pizza,"['Pizza', 'Restaurants', 'Italian']",NV,3.5
Cici's Pizza,"['Italian', 'Pizza', 'Restaurants']",NC,3.5
Mama's Pizza & Pasta,"['Desserts', 'Pizza', 'Restaurants', 'Food', 'Italian']",NC,4.0
VIA,"['Italian', 'Jazz & Blues', 'Restaurants', 'Pizza', 'Bars', 'Arts & Entertainment', 'Wine Bars', 'Nightlife']",AZ,3.0
Streets of New York,"['Pizza', 'Restaurants', 'Sandwiches', 'Italian']",AZ,3.0
Pizza A Metro,"['Sandwiches', 'Seafood', 'Restaurants', 'Italian', 'Bars', 'Pizza', 'Nightlife']",AZ,3.5
Jr's Place,"['Restaurants', 'Italian']",NV,4.0
Viola's,"['Restaurants', 'Italian']",PA,2.5
Francesco's Pizzeria,"['Restaurants', 'Pizza', 'Italian']",NC,4.0
Olive Garden Italian Restaurant,"['Wine Bars', 'Salad', 'Restaurants', 'Nightlife', 'Bars', 'Italian']",PA,3.0
Felice,"['Cafes', 'Bars', 'American (New)', 'Desserts', 'Restaurants', 'Italian', 'Nightlife', 'Food']",OH,4.0
Noodles & Company,"['Restaurants', 'Thai', 'Fast Food', 'Food', 'Italian', 'Salad', 'Comfort Food', 'Asian Fusion', 'Noodles']",WI,3.0
Pizza Hut,"['Italian', 'Restaurants', 'Chicken Wings', 'Pizza']",AZ,2.0
Campola's,"['Italian', 'Restaurants']",OH,3.0
Bella Gusto Urban Pizzeria,"['Bars', 'Pizza', 'Wine Bars', 'Italian', 'Nightlife', 'Restaurants']",AZ,4.5
Aroojis Wine Room,"['Nightlife', 'Bars', 'Italian', 'Wine Bars', 'Cocktail Bars', 'Restaurants']",NC,3.0
Pizza Hut,"['Chicken Wings', 'Restaurants', 'Italian', 'Pizza']",AZ,3.5
Domino's Pizza,"['Food Delivery Services', 'Sandwiches', 'Chicken Wings', 'Restaurants', 'Pizza', 'Food', 'Italian']",AZ,2.5
Napa on Providence,"['Italian', 'Food', 'Restaurants', 'Beer', 'Wine & Spirits', 'American (New)']",NC,4.0
La Cucina Di Venti,"['Restaurants', 'Italian']",AZ,3.0
Flour & Barley,"['Gastropubs', 'Restaurants', 'Italian', 'Pizza']",NV,3.5
Longhitano's Gallery Pub & Grille,"['Nightlife', 'Italian', 'Restaurants', 'Bars', 'American (New)', 'Pubs']",OH,3.5
Rosario Ristorante,"['Restaurants', 'Mediterranean', 'Italian']",AZ,3.0
il Nido Ristorante,"['Italian', 'Restaurants']",NC,4.5
Rocky Rococo,"['Italian', 'Salad', 'Pizza', 'Restaurants']",WI,2.5
Buca di Beppo,"['Event Planning & Services', 'Caterers', 'Pizza', 'Food', 'Restaurants', 'Italian']",NV,3.0
Ray's Pizza,"['Restaurants', 'Italian', 'Pizza', 'Sandwiches']",AZ,3.0
Mario's Pizza & Italian Restaurant,"['Restaurants', 'Italian']",NC,3.0
La Stalla Cucina Rustica,"['Restaurants', 'Food', 'Italian', 'Pizza', 'Beer', 'Wine & Spirits']",AZ,4.0
Alchemy N' Ale,"['Italian', 'Gastropubs', 'Restaurants']",PA,3.0
Vocelli Pizza,"['Restaurants', 'Italian', 'Pizza', 'Food']",PA,3.0
Panevino Italian Grille,"['Italian', 'Bars', 'Restaurants', 'Nightlife', 'Food', 'Vegan']",NV,4.0
Palermo's Pizza & Wings,"['Restaurants', 'Bars', 'Sports Bars', 'Pizza', 'Nightlife', 'Italian']",AZ,3.0
The Pizza Kitchen,"['Pizza', 'Italian', 'Restaurants']",NV,4.5
Evan's Old Town Grille,"['Restaurants', 'Italian', 'Greek', 'American (New)', 'American (Traditional)']",NV,4.0
Pizza Hut,"['Italian', 'Restaurants', 'Pizza', 'Chicken Wings']",SC,2.5
Sabatino's Authentic NY Pizzeria,"['Restaurants', 'Italian', 'Pizza']",NV,3.5
Vincenzos Pizza & Pasta,"['Restaurants', 'Italian', 'Pizza']",PA,2.5
Mr B's Bar & Grill,"['Italian', 'Nightlife', 'Restaurants', 'Bars']",NV,4.0
Pomo Pizzeria -  Scottsdale,"['Pizza', 'Sandwiches', 'Restaurants', 'Italian', 'Gluten-Free']",AZ,4.0
Atria's - Norwin,"['Salad', 'Breakfast & Brunch', 'Caterers', 'Bars', 'Nightlife', 'Italian', 'Restaurants', 'Event Planning & Services', 'American (Traditional)']",PA,3.0
Bambini's Pizzeria Rotisserie,"['Restaurants', 'Event Planning & Services', 'Pizza', 'Caterers', 'Italian']",NV,3.5
Aiello's Pizzeria,"['Restaurants', 'Pizza', 'Italian']",PA,4.5
Pizza Hut,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']",AZ,2.0
Vinny-Boy's Italian Market Place,"['Delis', 'Italian', 'Restaurants']",NV,2.5
3 Tomatoes & A Mozzarella,"['Restaurants', 'Italian']",NV,2.5
Rosati's,"['Italian', 'Sandwiches', 'Pizza', 'Restaurants']",NV,3.5
Oregano's Pizza Bistro,"['Pizza', 'Italian', 'Restaurants', 'Sandwiches']",AZ,3.5
Carrabba's Italian Grill,"['Italian', 'Restaurants', 'Seafood']",NC,2.5
Ziggy's IL Posto,"['Nightlife', 'Restaurants', 'Bars', 'Seafood', 'Italian', 'Pizza']",AZ,4.0
Pizza Hut,"['Italian', 'Chicken Wings', 'Pizza', 'Restaurants']",OH,2.0
MezzaLuna,"['Italian', 'Restaurants', 'Pizza']",IL,3.0
Coco Osteria,"['Restaurants', 'Italian']",NC,3.5
La Prima Donna,"['Restaurants', 'Caterers', 'Event Planning & Services', 'Italian']",AZ,3.0
Frankie's Italian Kitchen,"['Restaurants', 'Pizza', 'Event Planning & Services', 'Italian', 'Sandwiches', 'Caterers']",PA,4.5
Miami Cafe,"['Food', 'Pizza', 'Italian', 'Desserts', 'Restaurants']",AZ,4.5
Humble Pie,"['Italian', 'Bars', 'Pizza', 'Beer', 'Wine & Spirits', 'Restaurants', 'Nightlife', 'Food']",AZ,3.0
Lombardozzi's Restaurant,"['Italian', 'Restaurants', 'Seafood']",PA,3.5
Mr G's Pizzeria & Wings,"['Restaurants', 'Italian', 'Chicken Wings', 'Pizza']",OH,3.5
Alexander's Italian Bistro,"['Restaurants', 'Italian']",PA,3.5
Luciano Garden,"['Mediterranean', 'Italian', 'Karaoke', 'Restaurants', 'Nightlife']",NV,3.5
Zuppa's Deli,"['Sandwiches', 'Italian', 'Restaurants', 'Delis']",PA,4.5
Amaro Italiano Ristorante,"['Wine Bars', 'Nightlife', 'Restaurants', 'Italian', 'Pizza', 'Bars']",AZ,4.0
Luigi's Pizza,"['Pizza', 'Restaurants', 'Italian']",NC,4.0
Joe's New York Pizza,"['Italian', 'Sandwiches', 'Pizza', 'Restaurants']",AZ,3.0
Le Provencal,"['French', 'Italian', 'Restaurants']",NV,2.5
Carluccio's,"['Italian', 'Restaurants']",NV,2.5
Fazoli's 5268,"['Restaurants', 'Italian']",NV,3.0
Il Pizzaiolo,"['Restaurants', 'Pizza', 'Italian']",PA,4.0
Salvatore's Tomato Pies,"['Italian', 'Bars', 'Nightlife', 'Restaurants', 'Pizza']",WI,4.0
That's Amore Gelato,"['Food', 'Restaurants', 'Italian', 'Desserts', 'Gelato', 'Ice Cream & Frozen Yogurt', 'Coffee & Tea']",AZ,4.5
Autostrada,"['Italian', 'Restaurants']",AZ,3.5
Domino's Pizza,"['Italian', 'Chicken Wings', 'Restaurants', 'Pizza', 'Sandwiches']",AZ,2.0
Capozzoli's Italian Restaurant,"['Nightlife', 'Lounges', 'Bars', 'Restaurants', 'Italian']",NV,4.0
Pie Zanos,"['Restaurants', 'Pizza', 'Gluten-Free', 'Italian']",NV,3.0
Monical's Pizza,"['Sandwiches', 'Restaurants', 'Italian', 'Pizza']",IL,2.0
Corrado's Cucina Italiana,"['Restaurants', 'Food', 'Desserts', 'Specialty Food', 'Salad', 'Italian']",AZ,3.5
Pizzazz on the Circle,"['Salad', 'Pizza', 'Restaurants', 'Italian']",OH,3.5
Gaetano's Ristorante,"['Restaurants', 'Italian']",NV,4.0
Domenico's Pizza and Pasta,"['Pizza', 'Restaurants', 'Italian']",NC,3.5
Gusti Italian Grill,"['Restaurants', 'Italian']",OH,2.5
Pezzano's Pizza,"['Italian', 'Food', 'Restaurants', 'Pizza']",AZ,4.0
Domino's Pizza,"['Pizza', 'Sandwiches', 'Italian', 'Restaurants', 'Chicken Wings']",AZ,2.0
Empire Pizza & Bar,"['Restaurants', 'Bars', 'Food', 'Nightlife', 'Italian', 'Sports Bars', 'Beer', 'Wine & Spirits']",SC,3.0
Pazzo Ristorante,"['Restaurants', 'Italian']",PA,3.0
Nonna Urban Eatery,"['Gastropubs', 'Italian', 'Tapas/Small Plates', 'French', 'Latin American', 'Asian Fusion', 'Restaurants']",AZ,4.5
D'Angelo's Italian Ristorante,"['Italian', 'Event Planning & Services', 'Restaurants', 'Venues & Event Spaces', 'Caterers']",OH,4.0
Off the Strip Just Real Food,"['American (New)', 'Restaurants', 'Italian']",NV,3.5
Times Square,"['Restaurants', 'Sandwiches', 'Italian', 'Pizza']",AZ,3.5
Joey & Gina's Restaurant,"['Italian', 'Restaurants', 'Pizza']",AZ,4.0
Classic Crust Pizza,"['Chicken Wings', 'Restaurants', 'Italian', 'Pizza', 'Sandwiches']",AZ,4.0
Girasole Restaurant,"['Restaurants', 'Italian']",PA,4.0
Bella Frutteto,"['Restaurants', 'Italian', 'Nightlife', 'Bars', 'Soup']",PA,3.5
Gabriella's Italian Grill & Pizzeria,"['Desserts', 'Arts & Entertainment', 'Italian', 'Gelato', 'Pizza', 'Restaurants', 'Food']",NV,3.5
Potenza Pizza and Pasta,"['Italian', 'Restaurants', 'Sandwiches', 'Event Planning & Services', 'Caterers', 'Pizza', 'Food', 'Food Delivery Services']",PA,3.0
Porcelli's Italian Bistro,"['Italian', 'Restaurants']",OH,3.0
Palazzo Ristorante,"['Restaurants', 'Italian']",PA,3.5
Bertolini's Authentic Trattoria,"['Restaurants', 'Italian']",NV,5.0
Big Daddy's Pizza,"['Italian', 'Pizza', 'Restaurants']",NV,3.0
Zappitelli's Pizza,"['Italian', 'Pizza', 'Restaurants', 'Caterers', 'Event Planning & Services']",OH,4.0
Eddie Cerino's Casual Italian,"['Restaurants', 'Italian']",OH,4.0
Joey's Italian Grill,"['Restaurants', 'Italian']",OH,3.5
Pizza Hut,"['Restaurants', 'Fast Food', 'Chicken Wings', 'Italian', 'Pizza']",AZ,3.5
Tuscan Oven,"['Restaurants', 'Italian']",AZ,2.5
Ciao Grazie,"['Pizza', 'Restaurants', 'Sandwiches', 'Italian']",AZ,4.0
Noodles & Company,"['Noodles', 'Comfort Food', 'Italian', 'Asian Fusion', 'Restaurants']",AZ,3.5
Olive Garden Italian Restaurant,"['Bars', 'Restaurants', 'Nightlife', 'Salad', 'Wine Bars', 'Italian']",NV,3.5
Caffe Siena,"['Italian', 'American (Traditional)', 'Lounges', 'Nightlife', 'Bars', 'Coffee & Tea', 'Steakhouses', 'Breakfast & Brunch', 'Mediterranean', 'Restaurants', 'Food']",NC,3.5
Franco's Restaurant,"['Italian', 'Restaurants']",PA,3.0
Cafe Verdi,"['Italian', 'Restaurants']",NV,2.0
Tutto,"['Italian', 'Restaurants']",AZ,3.5
Barro's Pizza,"['Restaurants', 'Pizza', 'Italian', 'Sandwiches']",AZ,4.0
Wood & Wine,"['Italian', 'Pizza', 'Restaurants']",OH,3.5
Pizza Hut,"['Restaurants', 'Chicken Wings', 'Pizza', 'Fast Food', 'Italian']",OH,1.5
Portofino's,"['Restaurants', 'Italian', 'Pizza']",NC,3.5
Postino Annex,"['Wine Bars', 'Bars', 'Restaurants', 'Italian', 'Breakfast & Brunch', 'Nightlife']",AZ,4.5
Venice Pizza,"['Pizza', 'Chicken Wings', 'Restaurants', 'Italian', 'Sandwiches']",AZ,4.5
Matteo's Casual Italian,"['Cocktail Bars', 'Bars', 'Pizza', 'Event Planning & Services', 'Caterers', 'Italian', 'Restaurants', 'Nightlife', 'Wine Bars']",OH,4.0
Richi's Diner,"['Italian', 'Mediterranean', 'American (Traditional)', 'Greek', 'Restaurants']",AZ,3.0
Salute Ristorante Italiano,"['Local Flavor', 'Comfort Food', 'Italian', 'Cocktail Bars', 'Restaurants', 'Nightlife', 'Yelp Events', 'Bars']",AZ,4.0
Hawthorne's NY Pizza & Bar,"['Bars', 'Nightlife', 'Pizza', 'Restaurants', 'Sports Bars', 'Italian']",NC,3.5
Carrabba's Italian Grill,"['Seafood', 'Restaurants', 'Gluten-Free', 'Italian']",AZ,3.5
Mia Za's Cafe,"['Cafes', 'Sandwiches', 'Restaurants', 'Italian', 'Pizza']",IL,3.0
Spinato's Pizzeria,"['Gluten-Free', 'Pizza', 'Restaurants', 'Italian']",AZ,4.0
Delucias Pizzeria,"['Restaurants', 'Italian', 'Pizza']",NV,3.0
Salvatore's Tomato Pies,"['American (New)', 'Pizza', 'Restaurants', 'Gluten-Free', 'Italian']",WI,4.5
Pizza Forte,"['Restaurants', 'Pizza', 'Italian', 'Hot Dogs']",NV,3.5
Adolfo's Restaurant,"['Breakfast & Brunch', 'Venezuelan', 'Latin American', 'Restaurants', 'Italian']",PA,4.0
Postino Highland,"['Italian', 'Bars', 'Nightlife', 'Wine Bars', 'Restaurants', 'Breakfast & Brunch']",AZ,4.5
Rhodes Ranch Club House Restaurant,"['American (Traditional)', 'Salad', 'Burgers', 'Restaurants', 'Italian']",NV,2.5
Little Italy's Feast of the Assumption,"['Local Flavor', 'Italian', 'Festivals', 'Arts & Entertainment', 'Restaurants']",OH,3.5
Franco's Trattoria,"['Restaurants', 'Italian']",PA,4.5
Brother's Pizza,"['Pizza', 'Italian', 'Restaurants', 'Chicken Wings']",AZ,3.5
Olive Garden Italian Restaurant,"['Restaurants', 'Nightlife', 'Italian', 'Salad', 'Bars', 'Wine Bars']",OH,3.0
Pizza A Metro,"['Restaurants', 'Salad', 'Pizza', 'Italian']",AZ,4.5
Domino's Pizza,"['Pizza', 'Chicken Wings', 'Italian', 'Sandwiches', 'Restaurants']",AZ,2.0
Monical's Pizza,"['Italian', 'Restaurants', 'Pizza']",IL,3.5
Mario Fazio's Restaurant & Catering,"['Italian', 'Event Planning & Services', 'Restaurants', 'Pizza', 'Caterers']",OH,4.5
Angelina's Italian Grill,"['Restaurants', 'Italian', 'American (Traditional)']",NV,4.0
Tesoro Ristorante Italiano,"['Restaurants', 'Italian']",AZ,4.0
Bacio,"['Italian', 'Restaurants']",NV,3.5
Porcelli's Bistro,"['Italian', 'Restaurants']",OH,4.5
Miele's Italian Bistro,"['Beverage Store', 'Restaurants', 'Food Delivery Services', 'Italian', 'Food']",AZ,4.0
PIZZAFIRE,"['Salad', 'Italian', 'Restaurants', 'Pizza']",OH,3.5
Parmigiano Italian Bistro,"['Restaurants', 'Italian']",AZ,4.0
Fired Pie,"['Pizza', 'Italian', 'Salad', 'Restaurants']",AZ,4.0
Sbarro,"['Restaurants', 'Italian']",AZ,2.0
Rocco's NY Pizzeria,"['Pizza', 'Restaurants', 'Italian']",NV,3.5
Pizini,"['Salad', 'Pizza', 'Italian', 'Restaurants', 'Sandwiches']",AZ,3.5
Times Square Neighborhood Italian Restaurant,"['Restaurants', 'Italian']",AZ,4.0
La Bella Pizza & Pasta,"['Pizza', 'Italian', 'Restaurants']",WI,2.5
Sonny & Jo's,"['Pizza', 'Restaurants', 'Italian']",PA,4.5
Sauce Pizza & Wine,"['Bars', 'Italian', 'Pizza', 'Restaurants', 'Nightlife', 'Gluten-Free']",AZ,4.0
Desert Peaks Pizza & Grille,"['Sandwiches', 'Pizza', 'Nightlife', 'American (Traditional)', 'Burgers', 'Bars', 'Italian', 'Sports Bars', 'Dive Bars', 'Restaurants']",AZ,3.5
Meatball Spot,"['Italian', 'Restaurants', 'American (New)']",NV,3.5
Barro's Pizza,"['Italian', 'Pizza', 'Restaurants']",AZ,3.5
Olive Garden Italian Restaurant,"['Italian', 'Salad', 'Restaurants', 'Bars', 'Nightlife', 'Wine Bars']",NV,3.5
